"Date","Price","Open","High","Low","Change %"
"06/10/2022","80.75","67.52","80.75","67.52","18.32%"
"06/09/2022","68.25","65.53","68.25","65.53","3.00%"
"06/08/2022","66.26","65.52","66.26","65.52","0.76%"
"06/07/2022","65.76","62.83","65.76","62.83","2.10%"
"06/06/2022","64.41","62.83","64.41","62.83","-0.77%"
"06/03/2022","64.91","62.83","64.91","62.83","0.00%"
"06/02/2022","64.91","62.83","64.91","62.83","0.00%"
"06/01/2022","64.91","60.24","64.91","60.24","2.84%"
"05/31/2022","63.12","53.96","63.12","53.96","7.95%"
"05/30/2022","58.47","56.47","58.47","56.47","-3.74%"
"05/27/2022","60.74","61.67","61.67","60.74","-3.33%"
"05/26/2022","62.83","69.47","69.47","62.83","-8.58%"
"05/25/2022","68.73","73.72","73.72","68.73","-3.69%"
"05/24/2022","71.36","69.52","71.36","69.52","3.78%"
"05/23/2022","68.76","77.02","77.02","68.76","-6.46%"
"05/20/2022","73.51","73.52","73.52","73.51","3.89%"
"05/19/2022","70.76","72.52","72.52","70.76","2.91%"
"05/18/2022","68.76","75.00","75.00","68.76","-1.05%"
"05/17/2022","69.49","81.00","81.00","69.49","-6.71%"
"05/16/2022","74.49","79.00","79.00","74.49","0.00%"
"05/13/2022","74.49","81.50","81.50","74.49","-0.68%"
"05/12/2022","75.00","82.00","82.00","75.00","1.60%"
"05/11/2022","73.82","82.00","82.00","73.82","-5.36%"
"05/10/2022","78.00","81.00","81.00","78.00","0.00%"
"05/09/2022","78.00","78.00","78.00","78.00","4.01%"
"05/06/2022","74.99","75.00","75.00","74.99","1.00%"
"05/05/2022","74.25","75.00","75.00","74.25","3.85%"
"05/04/2022","71.50","71.00","71.50","71.00","3.62%"
"05/03/2022","69.00","73.00","73.00","69.00","-3.50%"
"05/02/2022","71.50","73.00","73.00","71.50","0.01%"
"04/29/2022","71.49","73.50","73.50","71.49","1.06%"
"04/28/2022","70.74","70.50","70.74","70.50","2.15%"
"04/27/2022","69.25","65.50","69.25","65.50","5.32%"
"04/26/2022","65.75","62.00","65.75","62.00","8.68%"
"04/25/2022","60.50","57.01","60.50","57.01","6.16%"
"04/22/2022","56.99","57.00","57.00","56.99","1.79%"
"04/21/2022","55.99","57.00","57.00","55.99","-1.77%"
"04/20/2022","57.00","58.51","58.51","57.00","-1.30%"
"04/19/2022","57.75","56.00","57.75","56.00","3.13%"
"04/18/2022","56.00","56.01","56.01","56.00","0.00%"
"04/15/2022","56.00","56.00","56.00","56.00","-0.02%"
"04/14/2022","56.01","57.00","57.00","56.01","0.02%"
"04/13/2022","56.00","55.01","56.00","55.01","1.80%"
"04/12/2022","55.01","55.51","55.51","55.01","0.47%"
"04/11/2022","54.75","57.00","57.00","54.75","-3.10%"
"04/08/2022","56.50","59.01","59.01","56.50","-2.59%"
"04/07/2022","58.00","57.01","58.00","57.01","1.75%"
"04/06/2022","57.00","57.00","57.00","57.00","0.88%"
"04/05/2022","56.50","55.01","56.50","55.01","4.61%"
"04/04/2022","54.01","57.01","57.01","54.01","-2.74%"
"04/01/2022","55.53","57.05","57.05","55.53","-1.75%"
"03/31/2022","56.52","54.04","56.52","54.04","2.73%"
"03/30/2022","55.02","52.05","55.02","52.05","5.77%"
"03/29/2022","52.02","59.04","59.04","52.02","-12.60%"
"03/28/2022","59.52","61.03","61.03","59.52","-2.46%"
